Student ID,Name,Grade,Email,Borrowed Books
201,Alice Johnson,10,alice.johnson@socorrohs.edu,1
202,Bob Smith,11,bob.smith@socorrohs.edu,2
203,Charlie Brown,12,charlie.brown@socorrohs.edu,0
204,David Williams,10,david.williams@socorrohs.edu,3
205,Emily Davis,11,emily.davis@socorrohs.edu,1
206,Frank Miller,12,frank.miller@socorrohs.edu,0
207,Grace Lee,10,grace.lee@socorrohs.edu,2
208,Henry Wilson,11,henry.wilson@socorrohs.edu,3
209,Isabella Martinez,12,isabella.martinez@socorrohs.edu,1
210,Jack Anderson,10,jack.anderson@socorrohs.edu,0
